# Rx, Ry, d
-3.000000000000000062e-03,2.000000000000000042e-03,1.705000000500000112e+00
-3.950727192397288090e-02,2.471276216699681338e+00,1.704753584548259759e+00
2.081828999332908658e+00,3.734442092690429149e+00,1.705261845978738755e+00
-7.501454384794575825e-02,4.935552433399362116e+00,1.705016521924214823e+00
2.043321727408936361e+00,6.200718309390110150e+00,1.705282731674373942e+00
4.167657998665817765e+00,7.466884185380858518e+00,1.705066997800510853e+00
-2.223858087028800945e+00,6.140662774108296418e+00,1.705282731842081789e+00
-1.095218157719186486e-01,7.407828650099044232e+00,1.704795344638782240e+00
2.010814455484962959e+00,8.667994526089792373e+00,1.704824919846336773e+00
4.129150726741843691e+00,9.933160402080538631e+00,1.705380110779498137e+00
6.251486997998726203e+00,1.119632627807128777e+01,1.704473780813102524e+00
-2.262365358952772798e+00,8.606938990807979195e+00,1.704824921017316086e+00
-1.380290876958915336e-01,9.873104866798724899e+00,1.705100860708420374e+00
1.980307183560989559e+00,1.113827074278947293e+01,1.703901309883062876e+00
4.098643454817873177e+00,1.240343661878021919e+01,1.704237013352973173e+00
6.217979726074753799e+00,1.366360249477096822e+01,1.704122851515553316e+00
8.340315997331634534e+00,1.492676837076171736e+01,1.702577679255492304e+00
-4.415208902133627156e+00,9.815049331516911835e+00,1.705380113115519070e+00
-2.298872630876745760e+00,1.107621520750765853e+01,1.703901314384434373e+00
-1.765363596198644136e-01,1.233938108349840590e+01,1.703948037107068325e+00
1.944799911637018708e+00,1.360254695948915149e+01,1.703528882499385722e+00
4.069136182893900333e+00,1.486871283547990075e+01,1.703656637485673642e+00
6.187472454150780621e+00,1.613387871147064700e+01,1.703348136128579826e+00
8.312808725407661470e+00,1.739504458746139903e+01,1.702624077074719411e+00
1.043314499666454331e+01,1.865521046345214273e+01,1.702508799123220840e+00
-4.451716174057601449e+00,1.228432554821659295e+01,1.704237023991322264e+00
-2.329379902800720270e+00,1.354749142420733854e+01,1.703528895282402145e+00
-2.080436315438373152e-01,1.480965730019808824e+01,1.704355837796398543e+00
1.914292639713044197e+00,1.607282317618883738e+01,1.703728515850627900e+00
4.035628910969925265e+00,1.733598905217958475e+01,1.702661699320806132e+00
6.155965182226806220e+00,1.859615492817033200e+01,1.703174103185038923e+00
8.283301453483687737e+00,1.986032080416107704e+01,1.702288184113124991e+00
1.040563772474056847e+01,2.112348668015182795e+01,1.702029896450627522e+00
1.253097399599745287e+01,2.238465255614257643e+01,1.701428410416575110e+00
-6.606559717238455143e+00,1.348843588892552603e+01,1.704122864266129467e+00
-4.484223445981574407e+00,1.475160176491627517e+01,1.703656668756038828e+00
-2.362887174724691342e+00,1.601476764090702076e+01,1.703728545911845194e+00
-2.405509034678102176e-01,1.727793351689777168e+01,1.703347018705123395e+00
1.880785367789071127e+00,1.854009939288851783e+01,1.702524759736407711e+00
4.003121639045953195e+00,1.980326526887926164e+01,1.703278453330725695e+00
6.128457910302833156e+00,2.106443114487001367e+01,1.701628613736734463e+00
8.253794181559714005e+00,2.232559702086075859e+01,1.701599361530078403e+00
1.037913045281660018e+01,2.358676289685151062e+01,1.701218160805491486e+00
1.250146672407348092e+01,2.484992877284226154e+01,1.700515520195714947e+00
1.462980299533036188e+01,2.610909464883300402e+01,1.699524661173120066e+00
-6.634066989162428207e+00,1.595671210562520415e+01,1.703348183247677561e+00
-4.511730717905545696e+00,1.721987798161595862e+01,1.702661773035944126e+00
-2.395394446648664299e+00,1.848204385760670476e+01,1.702524821801847166e+00
-2.740581753917830654e-01,1.974520973359744858e+01,1.702947882024688164e+00
1.848278095865098170e+00,2.100837560958819950e+01,1.702945570502113926e+00
3.975614367121979242e+00,2.227254148557894453e+01,1.701536408671194378e+00
6.100950638378860091e+00,2.353370736156969301e+01,1.701742620075487045e+00
8.226286909635746269e+00,2.479487323756043793e+01,1.700589887320537397e+00
1.034962318089262645e+01,2.605203911355119217e+01,1.701107071329677867e+00
1.247895945214950686e+01,2.731120498954193820e+01,1.700325896148343841e+00
1.460429572340638771e+01,2.857237086553268668e+01,1.700280602943294195e+00
1.673363199466326989e+01,2.983153674152343271e+01,1.699007577198428320e+00
-8.788910532343283677e+00,1.716082244633414433e+01,1.702624121823790970e+00
-6.664574261086399609e+00,1.842798832232488948e+01,1.703174222578490049e+00
-4.543237989829518320e+00,1.969115419831563685e+01,1.703278604404132812e+00
-2.422901718572637364e+00,2.095032007430638643e+01,1.702945686943826420e+00
-3.005654473157559625e-01,2.221348595029713024e+01,1.702187992657417270e+00
1.820770823941125327e+00,2.347665182628787761e+01,1.702022009698537675e+00
3.946107095198006398e+00,2.473781770227862609e+01,1.701468011014706461e+00
6.071443366454890800e+00,2.599898357826937456e+01,1.700549831763869868e+00
8.198779637711773205e+00,2.726314945426011960e+01,1.701294607624623589e+00
1.032611590896865472e+01,2.851931533025087262e+01,1.699732477030898359e+00
1.245145218022553557e+01,2.978048120624162109e+01,1.699896250779795004e+00
1.457878845148241531e+01,3.103564708223236579e+01,1.698821052838609846e+00
1.671112472273929583e+01,3.229281295822310227e+01,1.697543936509452678e+00
1.883746099399617790e+01,3.354897883421385529e+01,1.698103480393325038e+00
-8.819417804267255079e+00,1.963209866303382256e+01,1.702288330050141463e+00
-6.698081533010372901e+00,2.089526453902457348e+01,1.701628865385438338e+00
-4.572745261753492052e+00,2.215643041501531840e+01,1.701536689166854632e+00
-2.452408990496610208e+00,2.341559629100606443e+01,1.702022212648404365e+00
-3.280727192397288050e-01,2.468276216699681314e+01,1.702099860088621242e+00
1.797263552017152488e+00,2.594392804298756161e+01,1.700787909976716694e+00
3.918599823274037330e+00,2.720709391897830542e+01,1.701108293534796756e+00
6.043936094530918623e+00,2.846725979496905623e+01,1.700086352831072789e+00
8.173272365787800808e+00,2.972642567095980226e+01,1.699750561308344787e+00
1.029660863704468099e+01,3.098459154695055062e+01,1.700132209968393537e+00
1.242794490830156207e+01,3.224675742294129321e+01,1.699265062851153418e+00
1.455828117955844370e+01,3.350092329893204379e+01,1.698184985802983160e+00
1.668661745081532288e+01,3.476008917492279693e+01,1.697929552836805245e+00
1.882095372207220407e+01,3.601125505091353318e+01,1.696537634644726289e+00
2.095128999332908748e+01,3.726542092690429087e+01,1.697048974027966395e+00
-1.096726134744810821e+01,2.084120900374275465e+01,1.702030017508468829e+00
-8.846925076191228143e+00,2.210037487973350423e+01,1.701599697713902071e+00
-6.725588804934345077e+00,2.336354075572425515e+01,1.701743092419613745e+00
-4.603252533677464342e+00,2.462670663171499896e+01,1.702468494554311151e+00
-2.477916262420583049e+00,2.588787250770574744e+01,1.700788243598212901e+00
-3.555799911637017585e-01,2.715103838369649480e+01,1.700718589351146059e+00
1.767756280093183197e+00,2.840920425968724317e+01,1.701279512070750677e+00
3.895092551350064713e+00,2.967337013567799175e+01,1.700494501066522890e+00
6.020428822606946007e+00,3.093453601166873668e+01,1.700390294319119588e+00
8.145765093863827744e+00,3.219570188765948160e+01,1.698996582147816348e+00
1.027610136512070760e+01,3.344886776365022740e+01,1.699345678366915635e+00
1.240543763637758978e+01,3.470803363964098054e+01,1.698472162749329772e+00
1.453377390763447075e+01,3.596719951563171946e+01,1.698412498948044025e+00
1.666611017889135127e+01,3.722436539162247726e+01,1.697204632309830874e+00
1.880044645014823246e+01,3.847653126761321829e+01,1.696887572247059772e+00
2.093078272140511231e+01,3.972969714360397120e+01,1.695500964010031364e+00
2.306411899266199583e+01,4.098186301959472644e+01,1.696084654821898630e+00
-1.099676861937208372e+01,2.330648522044243620e+01,1.701218523941738558e+00
-8.878432348115204320e+00,2.457165109643318601e+01,1.700590544334987353e+00
