#Atom_id	dx	dy	dz
	1	 0.000	 0.000	-0.095
	2	-0.018	 0.001	-0.095
	3	-0.028	 0.016	-0.094
	4	-0.039	 0.004	-0.094
	5	-0.046	 0.017	-0.094
	6	-0.053	 0.035	-0.093
	7	-0.046	-0.015	-0.094
	8	-0.056	-0.000	-0.093
	9	-0.065	 0.015	-0.092
	10	-0.073	 0.033	-0.091
	11	-0.083	 0.048	-0.091
	12	-0.064	-0.014	-0.092
	13	-0.073	 0.001	-0.092
	14	-0.083	 0.016	-0.091
	15	-0.093	 0.031	-0.090
	16	-0.098	 0.047	-0.089
	17	-0.107	 0.062	-0.087
	18	-0.070	-0.033	-0.091
	19	-0.081	-0.013	-0.091
	20	-0.091	 0.002	-0.091
	21	-0.098	 0.015	-0.090
	22	-0.108	 0.030	-0.088
	23	-0.115	 0.048	-0.086
	24	-0.118	 0.059	-0.085
	25	-0.128	 0.074	-0.083
	26	-0.089	-0.027	-0.090
	27	-0.096	-0.014	-0.090
	28	-0.106	 0.001	-0.089
	29	-0.116	 0.016	-0.088
	30	-0.120	 0.032	-0.086
	31	-0.126	 0.045	-0.085
	32	-0.136	 0.060	-0.082
	33	-0.139	 0.071	-0.081
	34	-0.145	 0.084	-0.078
	35	-0.096	-0.046	-0.089
	36	-0.106	-0.031	-0.088
	37	-0.116	-0.016	-0.088
	38	-0.122	-0.003	-0.086
	39	-0.130	 0.015	-0.086
	40	-0.138	 0.033	-0.084
	41	-0.141	 0.044	-0.082
	42	-0.147	 0.057	-0.080
	43	-0.150	 0.068	-0.077
	44	-0.156	 0.081	-0.075
	45	-0.159	 0.092	-0.072
	46	-0.114	-0.045	-0.086
	47	-0.120	-0.032	-0.086
	48	-0.130	-0.017	-0.086
	49	-0.138	 0.001	-0.085
	50	-0.141	 0.012	-0.083
	51	-0.151	 0.027	-0.082
	52	-0.155	 0.043	-0.079
	53	-0.158	 0.054	-0.077
	54	-0.164	 0.067	-0.075
	55	-0.164	 0.076	-0.072
	56	-0.167	 0.087	-0.069
	57	-0.172	 0.095	-0.065
	58	-0.122	-0.059	-0.085
	59	-0.126	-0.043	-0.085
	60	-0.136	-0.028	-0.084
	61	-0.142	-0.015	-0.083
	62	-0.149	-0.002	-0.081
	63	-0.157	 0.017	-0.081
	64	-0.160	 0.028	-0.078
	65	-0.166	 0.040	-0.077
	66	-0.172	 0.053	-0.074
	67	-0.172	 0.062	-0.071
	68	-0.175	 0.073	-0.069
	69	-0.174	 0.082	-0.065
	70	-0.177	 0.093	-0.063
	71	-0.177	 0.102	-0.059
	72	-0.134	-0.056	-0.082
	73	-0.141	-0.044	-0.082
	74	-0.145	-0.027	-0.081
	75	-0.155	-0.012	-0.081
	76	-0.161	 0.001	-0.079
	77	-0.168	 0.014	-0.077
	78	-0.172	 0.030	-0.076
	79	-0.175	 0.041	-0.073
	80	-0.178	 0.052	-0.071
	81	-0.177	 0.061	-0.068
	82	-0.180	 0.072	-0.065
	83	-0.183	 0.083	-0.062
	84	-0.179	 0.090	-0.059
	85	-0.181	 0.095	-0.056
	86	-0.180	 0.104	-0.052
	87	-0.140	-0.067	-0.081
	88	-0.143	-0.056	-0.080
	89	-0.153	-0.041	-0.079
	90	-0.159	-0.028	-0.078
	91	-0.164	-0.012	-0.077
	92	-0.174	 0.003	-0.076
	93	-0.177	 0.014	-0.074
	94	-0.179	 0.025	-0.072
	95	-0.184	 0.042	-0.070
	96	-0.183	 0.050	-0.067
	97	-0.186	 0.061	-0.064
	98	-0.186	 0.070	-0.062
	99	-0.185	 0.079	-0.058
	100	-0.187	 0.085	-0.055
	101	-0.183	 0.092	-0.051
	102	-0.179	 0.099	-0.048
	103	-0.177	 0.102	-0.044
	104	-0.151	-0.070	-0.077
	105	-0.161	-0.055	-0.077
	106	-0.164	-0.044	-0.077
	107	-0.172	-0.026	-0.076
	108	-0.175	-0.015	-0.074
	109	-0.181	-0.002	-0.072
	110	-0.187	 0.011	-0.071
	111	-0.190	 0.022	-0.069
	112	-0.191	 0.037	-0.066
	113	-0.194	 0.048	-0.064
	114	-0.194	 0.056	-0.061
	115	-0.193	 0.065	-0.058
	116	-0.187	 0.076	-0.055
	117	-0.189	 0.081	-0.051
	118	-0.185	 0.088	-0.048
	119	-0.183	 0.092	-0.044
	120	-0.175	 0.097	-0.041
	121	-0.173	 0.100	-0.037
	122	-0.157	-0.080	-0.075
	123	-0.160	-0.069	-0.075
	124	-0.170	-0.054	-0.074
	125	-0.171	-0.040	-0.073
	126	-0.181	-0.025	-0.072
	127	-0.187	-0.012	-0.070
	128	-0.190	-0.001	-0.069
	129	-0.193	 0.010	-0.067
	130	-0.194	 0.024	-0.064
	131	-0.197	 0.035	-0.063
	132	-0.196	 0.044	-0.060
	133	-0.196	 0.053	-0.057
	134	-0.195	 0.062	-0.054
	135	-0.195	 0.071	-0.051
	136	-0.189	 0.072	-0.048
	137	-0.189	 0.081	-0.044
	138	-0.187	 0.085	-0.041
	139	-0.176	 0.088	-0.037
	140	-0.174	 0.091	-0.034
	141	-0.165	 0.091	-0.030
	142	-0.164	-0.076	-0.072
	143	-0.170	-0.063	-0.071
	144	-0.177	-0.050	-0.070
	145	-0.183	-0.037	-0.070
	146	-0.186	-0.026	-0.069
	147	-0.193	-0.014	-0.067
	148	-0.197	 0.003	-0.065
	149	-0.196	 0.012	-0.063
	150	-0.199	 0.023	-0.061
	151	-0.202	 0.034	-0.058
	152	-0.202	 0.043	-0.056
	153	-0.201	 0.052	-0.053
	154	-0.197	 0.058	-0.050
	155	-0.193	 0.065	-0.047
	156	-0.195	 0.071	-0.043
	157	-0.187	 0.076	-0.040
	158	-0.180	 0.081	-0.037
	159	-0.178	 0.084	-0.034
	160	-0.169	 0.084	-0.030
	161	-0.161	 0.089	-0.027
	162	-0.149	 0.086	-0.024
	163	-0.165	-0.085	-0.069
	164	-0.171	-0.072	-0.069
	165	-0.177	-0.059	-0.068
	166	-0.184	-0.046	-0.067
	167	-0.187	-0.035	-0.066
	168	-0.193	-0.022	-0.064
	169	-0.196	-0.012	-0.063
	170	-0.199	-0.001	-0.061
	171	-0.202	 0.010	-0.059
	172	-0.201	 0.019	-0.057
	173	-0.202	 0.034	-0.054
	174	-0.204	 0.039	-0.051
	175	-0.198	 0.050	-0.049
	176	-0.199	 0.055	-0.046
	177	-0.192	 0.060	-0.042
	178	-0.188	 0.067	-0.040
	179	-0.186	 0.070	-0.036
	180	-0.178	 0.075	-0.034
	181	-0.173	 0.077	-0.030
	182	-0.165	 0.082	-0.026
	183	-0.153	 0.079	-0.024
	184	-0.147	 0.081	-0.020
	185	-0.135	 0.078	-0.017
	186	-0.174	-0.085	-0.065
	187	-0.180	-0.072	-0.065
	188	-0.186	-0.059	-0.064
	189	-0.193	-0.046	-0.064
	190	-0.196	-0.035	-0.063
	191	-0.199	-0.024	-0.061
	192	-0.205	-0.011	-0.059
	193	-0.202	 0.001	-0.058
	194	-0.205	 0.012	-0.055
	195	-0.205	 0.021	-0.053
	196	-0.204	 0.030	-0.051
	197	-0.204	 0.039	-0.048
	198	-0.203	 0.048	-0.044
	199	-0.196	 0.053	-0.042
	200	-0.192	 0.060	-0.039
	201	-0.186	 0.061	-0.035
	202	-0.182	 0.068	-0.033
	203	-0.177	 0.070	-0.029
	204	-0.166	 0.073	-0.026
	205	-0.160	 0.074	-0.023
	206	-0.151	 0.074	-0.020
	207	-0.139	 0.071	-0.017
	208	-0.130	 0.071	-0.014
	209	-0.118	 0.068	-0.012
	210	-0.174	-0.093	-0.063
	211	-0.180	-0.081	-0.062
	212	-0.187	-0.068	-0.062
	213	-0.193	-0.055	-0.061
	214	-0.196	-0.044	-0.060
	215	-0.199	-0.033	-0.058
	216	-0.202	-0.022	-0.057
	217	-0.205	-0.011	-0.055
	218	-0.208	-0.000	-0.053
	219	-0.207	 0.009	-0.051
	220	-0.207	 0.018	-0.049
	221	-0.206	 0.027	-0.046
	222	-0.202	 0.034	-0.043
	223	-0.202	 0.043	-0.041
	224	-0.194	 0.048	-0.038
	225	-0.192	 0.051	-0.034
	226	-0.185	 0.056	-0.032
	227	-0.179	 0.057	-0.029
	228	-0.172	 0.062	-0.025
	229	-0.163	 0.062	-0.023
	230	-0.154	 0.061	-0.020
	231	-0.143	 0.064	-0.017
	232	-0.131	 0.062	-0.014
	233	-0.120	 0.065	-0.012
	234	-0.113	 0.061	-0.009
	235	-0.097	 0.056	-0.006
	236	-0.181	-0.089	-0.059
	237	-0.187	-0.077	-0.058
	238	-0.190	-0.066	-0.058
	239	-0.197	-0.053	-0.057
	240	-0.200	-0.042	-0.056
	241	-0.203	-0.031	-0.054
	242	-0.205	-0.020	-0.053
	243	-0.205	-0.011	-0.051
	244	-0.208	-0.000	-0.049
	245	-0.207	 0.009	-0.047
	246	-0.203	 0.016	-0.044
	247	-0.203	 0.025	-0.042
	248	-0.202	 0.034	-0.039
	249	-0.195	 0.039	-0.036
	250	-0.193	 0.042	-0.034
	251	-0.185	 0.047	-0.031
	252	-0.178	 0.052	-0.028
	253	-0.172	 0.053	-0.025
	254	-0.163	 0.053	-0.022
	255	-0.156	 0.058	-0.019
	256	-0.147	 0.057	-0.016
	257	-0.135	 0.055	-0.013
	258	-0.126	 0.054	-0.011
	259	-0.113	 0.052	-0.009
	260	-0.104	 0.051	-0.006
	261	-0.092	 0.049	-0.004
	262	-0.078	 0.041	-0.002
	263	-0.180	-0.095	-0.056
	264	-0.182	-0.084	-0.055
	265	-0.189	-0.071	-0.055
	266	-0.194	-0.064	-0.054
	267	-0.197	-0.053	-0.053
	268	-0.203	-0.040	-0.051
	269	-0.206	-0.029	-0.051
	270	-0.205	-0.020	-0.049
	271	-0.208	-0.009	-0.047
	272	-0.204	-0.002	-0.044
	273	-0.204	 0.007	-0.043
	274	-0.203	 0.016	-0.040
	275	-0.199	 0.023	-0.037
	276	-0.195	 0.030	-0.035
	277	-0.195	 0.039	-0.033
	278	-0.186	 0.038	-0.029
	279	-0.182	 0.045	-0.026
	280	-0.173	 0.044	-0.024
	281	-0.165	 0.049	-0.021
	282	-0.160	 0.051	-0.018
