#Atom_id	dx	dy	dz
	1	 0.002	 0.001	-0.094
	2	-0.012	 0.003	-0.095
	3	-0.019	 0.015	-0.094
	4	-0.025	 0.005	-0.094
	5	-0.031	 0.018	-0.093
	6	-0.040	 0.027	-0.091
	7	-0.038	-0.010	-0.093
	8	-0.041	 0.001	-0.092
	9	-0.048	 0.014	-0.091
	10	-0.054	 0.027	-0.090
	11	-0.064	 0.041	-0.088
	12	-0.051	-0.008	-0.091
	13	-0.054	 0.003	-0.090
	14	-0.062	 0.013	-0.090
	15	-0.068	 0.026	-0.088
	16	-0.075	 0.039	-0.085
	17	-0.080	 0.046	-0.083
	18	-0.053	-0.020	-0.090
	19	-0.063	-0.005	-0.090
	20	-0.068	 0.002	-0.088
	21	-0.074	 0.015	-0.087
	22	-0.077	 0.026	-0.084
	23	-0.089	 0.038	-0.083
	24	-0.092	 0.049	-0.079
	25	-0.092	 0.057	-0.077
	26	-0.068	-0.021	-0.088
	27	-0.076	-0.012	-0.087
	28	-0.080	 0.005	-0.085
	29	-0.083	 0.016	-0.084
	30	-0.092	 0.025	-0.082
	31	-0.098	 0.038	-0.079
	32	-0.101	 0.049	-0.076
	33	-0.102	 0.055	-0.073
	34	-0.102	 0.063	-0.069
	35	-0.074	-0.031	-0.085
	36	-0.078	-0.024	-0.084
	37	-0.088	-0.009	-0.084
	38	-0.091	 0.002	-0.083
	39	-0.100	 0.011	-0.080
	40	-0.103	 0.022	-0.079
	41	-0.107	 0.039	-0.075
	42	-0.106	 0.048	-0.073
	43	-0.111	 0.055	-0.069
	44	-0.113	 0.061	-0.065
	45	-0.112	 0.069	-0.061
	46	-0.082	-0.031	-0.083
	47	-0.091	-0.021	-0.082
	48	-0.097	-0.008	-0.080
	49	-0.104	 0.004	-0.078
	50	-0.109	 0.012	-0.077
	51	-0.112	 0.023	-0.074
	52	-0.114	 0.034	-0.072
	53	-0.119	 0.041	-0.068
	54	-0.117	 0.054	-0.065
	55	-0.118	 0.059	-0.060
	56	-0.118	 0.068	-0.057
	57	-0.116	 0.071	-0.053
	58	-0.090	-0.045	-0.079
	59	-0.097	-0.032	-0.079
	60	-0.100	-0.021	-0.079
	61	-0.106	-0.008	-0.077
	62	-0.113	 0.005	-0.075
	63	-0.116	 0.016	-0.073
	64	-0.117	 0.021	-0.070
	65	-0.123	 0.034	-0.067
