# Rx, Ry, d
0.000000000000000000e+00,0.000000000000000000e+00,1.800000000500000086e+00
-1.469149230641925846e-02,2.468301878031366581e+00,1.799844677897287193e+00
2.115574892124373108e+00,3.715176022603912553e+00,1.799534467033800045e+00
-2.938298461283851692e-02,4.936603756062733162e+00,1.799379578413243808e+00
2.100883399817954356e+00,6.183477900635278246e+00,1.798915780049338942e+00
4.231149784248746215e+00,7.430352045207825107e+00,1.798145668604284486e+00
-2.174340861350050780e+00,6.158031489521553326e+00,1.798915780082692706e+00
-4.407447691925777539e-02,7.404905634094099298e+00,1.798607301087488120e+00
2.086191907511534271e+00,8.651779778666647047e+00,1.797992074541996388e+00
4.216458291942326575e+00,9.898653923239191244e+00,1.797073551754964305e+00
6.346724676373120211e+00,1.114552806781173722e+01,1.795856880354687712e+00
-2.189032353656469088e+00,8.626333367552920350e+00,1.797992074775100368e+00
-5.876596922567703385e-02,9.873207512125466323e+00,1.797532157920378681e+00
2.071500415205115075e+00,1.112008165669801230e+01,1.796768507311648611e+00
4.201766799635908711e+00,1.236695580127055649e+01,1.795705419021978999e+00
6.332033184066701459e+00,1.361382994584310424e+01,1.794348866638160178e+00
8.462299568497492430e+00,1.486070409041565021e+01,1.792706460502088595e+00
-4.333990230393680143e+00,9.847761101011741403e+00,1.797073552220427306e+00
-2.203723845962888284e+00,1.109463524558428560e+01,1.796768508208848703e+00
-7.345746153209628537e-02,1.234150939015683157e+01,1.796160144425435368e+00
2.056808922898697656e+00,1.358838353472937754e+01,1.795251899111723226e+00
4.187075307329489959e+00,1.483525767930192352e+01,1.794048900625264897e+00
6.317341691760281819e+00,1.608213182387446594e+01,1.792557932437227830e+00
8.447608076191073678e+00,1.732900596844701724e+01,1.790787386802487058e+00
1.057787446062186731e+01,1.857588011301955788e+01,1.788747207439360887e+00
-4.348681722700101560e+00,1.231606297904310665e+01,1.795705421144710101e+00
-2.218415338269309256e+00,1.356293712361565085e+01,1.795251901663591942e+00
-8.814895383851555077e-02,1.480981126818819860e+01,1.794498898703448253e+00
2.042117430592276683e+00,1.605668541276074635e+01,1.793450688063382259e+00
4.172383815023068543e+00,1.730355955733329409e+01,1.792113215365459089e+00
6.302650199453861291e+00,1.855043370190583474e+01,1.790494055412401808e+00
8.432916583884653150e+00,1.979730784647838249e+01,1.788602360382732570e+00
1.056318296831544679e+01,2.104418199105092668e+01,1.786448797240474118e+00
1.269344935274624042e+01,2.229105613562347443e+01,1.784045474815098897e+00
-6.493639599437313059e+00,1.353749071250192770e+01,1.794348869185948825e+00
-4.363373215006520311e+00,1.478436485707447368e+01,1.794048906875592708e+00
-2.233106830575726676e+00,1.603123900164701965e+01,1.793450694075797491e+00
-1.028404461449348162e-01,1.727811314621956740e+01,1.792557649336306014e+00
2.027425938285857043e+00,1.852498729079211159e+01,1.791374872071489932e+00
4.157692322716648903e+00,1.977186143536465934e+01,1.789909107677583044e+00
6.287958707147441650e+00,2.101873557993719999e+01,1.788168701337315536e+00
8.418225091578232622e+00,2.226560972450974774e+01,1.786163540848260345e+00
1.054849147600902981e+01,2.351248386908229548e+01,1.783904988891246379e+00
1.267875786043982167e+01,2.475935801365484323e+01,1.781405805232163075e+00
1.480902424487061353e+01,2.600623215822738743e+01,1.778680059423792148e+00
-6.508331091743732699e+00,1.600579259053329295e+01,1.792557941870196681e+00
-4.378064707312938175e+00,1.725266673510584070e+01,1.792113230129754209e+00
-2.247798322882146316e+00,1.849954087967838490e+01,1.791374884512252130e+00
