# Rx, Ry, d
0.000000000000000000e+00,0.000000000000000000e+00,1.800000000500000086e+00
-3.313887342222406746e-02,2.468123136334098522e+00,1.799211230045707932e+00
2.087749025600116326e+00,3.730883810737590345e+00,1.797644899782554040e+00
-6.627774684444813491e-02,4.936246272668197044e+00,1.796867292827340812e+00
2.054610152177892779e+00,6.199006947071688423e+00,1.794556735017353022e+00
4.175498051200232652e+00,7.461767621475180690e+00,1.790779270582729232e+00
-2.220304519289013179e+00,6.141608734598801966e+00,1.794556744843172957e+00
-9.941662026667220931e-02,7.404369409002295122e+00,1.793034535847823463e+00
2.021471278755667900e+00,8.667130083405787389e+00,1.790034174555377611e+00
4.142359177778008217e+00,9.929890757809280544e+00,1.785642313533285730e+00
6.263247076800349866e+00,1.119265143221277192e+01,1.779985196791500135e+00
-2.253443392711236282e+00,8.609731870932900932e+00,1.790034242778094198e+00
-1.325554936888962698e-01,9.872492545336394087e+00,1.787820981332383763e+00
1.988332405333443909e+00,1.113525321973988547e+01,1.784204562220566670e+00
4.109220304355785558e+00,1.239801389414337685e+01,1.779290999634194792e+00
6.230108203378125431e+00,1.366077456854687178e+01,1.773223564518177531e+00
8.350996102400465304e+00,1.492353524295036138e+01,1.766177804992485223e+00
-4.407470165155800146e+00,9.815094332863507631e+00,1.785642448870604415e+00
-2.286582266133460273e+00,1.107785500726699901e+01,1.784204822519259048e+00
-1.656943671111203442e-01,1.234061568167049039e+01,1.781372591776576142e+00
1.955193531911221472e+00,1.360337635607398354e+01,1.777230735960626085e+00
4.076081430933561123e+00,1.486613703047747670e+01,1.771903096703353331e+00
6.196969329955901884e+00,1.612889770488096630e+01,1.765548048634451250e+00
8.317857228978240869e+00,1.739165837928446123e+01,1.758352960423086087e+00
1.043874512800058163e+01,1.865441905368794906e+01,1.750527650993253470e+00
-4.440609038578026357e+00,1.228321746919760393e+01,1.779291610788011235e+00
-2.319721139555686040e+00,1.354597814360109709e+01,1.777231468256183167e+00
-1.988332405333444186e-01,1.480873881800459024e+01,1.773868235610378541e+00
1.922054658488995704e+00,1.607149949240808340e+01,1.769305407148281439e+00
4.042942557511335799e+00,1.733426016681157478e+01,1.763682866131047078e+00
6.163830456533675672e+00,1.859702084121506616e+01,1.757171953381297280e+00
8.284718355556016434e+00,1.985978151561856109e+01,1.749969426040155041e+00
1.040560625457835542e+01,2.112254219002204891e+01,1.742290530359760226e+00
1.252649415360069973e+01,2.238530286442554385e+01,1.734361445223346010e+00
-6.594635811022590666e+00,1.348857993112821241e+01,1.773224290848468776e+00
-4.473747912000250793e+00,1.475134060553170379e+01,1.771904874656067053e+00
-2.352860012977908699e+00,1.601410127993520049e+01,1.769307109928258681e+00
-2.319721139555684930e-01,1.727686195433868832e+01,1.765513539267288268e+00
1.888915785066771491e+00,1.853962262874217970e+01,1.760644537637945817e+00
4.009803684089111364e+00,1.980238330314567463e+01,1.754854034084084802e+00
6.130691583111451237e+00,2.106514397754916246e+01,1.748324030098871162e+00
8.251579482133791998e+00,2.232790465195265739e+01,1.741258118240232911e+00
1.037246738115613454e+01,2.359066532635615232e+01,1.733874241829461260e+00
1.249335528017847530e+01,2.485342600075964370e+01,1.726396964753591945e+00
1.461424317920081428e+01,2.611618667516313508e+01,1.719049538449836323e+00
