# Rx, Ry, d
0.000000000000000000e+00,0.000000000000000000e+00,1.800000000500000086e+00
-1.378892573013768170e-02,2.459961354478400697e+00,1.799862238855338914e+00
2.109705636711065146e+00,3.701883591690797282e+00,1.799587057237642895e+00
-2.757785146027536341e-02,4.919922708956801394e+00,1.799449637013585512e+00
2.095916710980927355e+00,6.161844946169198423e+00,1.799038058857792999e+00
4.219411273422130293e+00,7.403767183381594563e+00,1.798354366246531111e+00
-2.164861339631615422e+00,6.137961826222806394e+00,1.799038058879710800e+00
-4.136677719041304685e-02,7.379884063435202535e+00,1.798764240111865309e+00
2.082127785250790453e+00,8.621806300647598675e+00,1.798217965133093843e+00
4.205622347691993390e+00,9.863728537859994816e+00,1.797401950964231832e+00
6.329116910133195439e+00,1.110565077507239273e+01,1.796320252649751037e+00
-2.178650265361754101e+00,8.597923180701204871e+00,1.798217965286300402e+00
-5.515570292055072682e-02,9.839845417913602788e+00,1.797809442940254243e+00
2.068338859520652662e+00,1.108176765512600070e+01,1.797130837530634073e+00
4.191833421961854711e+00,1.232368989233839685e+01,1.796185532720538269e+00
6.315327984403057648e+00,1.356561212955079299e+01,1.794978237053769687e+00
8.438822546844260586e+00,1.480753436676318913e+01,1.793514955460022264e+00
-4.315933753533095718e+00,9.815962297967210759e+00,1.797401951270210851e+00
-2.192439191091891892e+00,1.105788453517960690e+01,1.797130838120457597e+00
-6.894462865068841373e-02,1.229980677239200482e+01,1.796589969377509588e+00
2.054549933790513094e+00,1.354172900960440273e+01,1.795782052943863283e+00
4.178044496231716920e+00,1.478365124681679710e+01,1.794711130402257160e+00
6.301539058672919857e+00,1.602557348402919501e+01,1.793382552552361231e+00
8.425033621114122795e+00,1.726749572124158760e+01,1.791802947001695623e+00
1.054852818355532662e+01,1.850941795845398730e+01,1.789980178019966672e+00
-4.329722679263230845e+00,1.227592365244561279e+01,1.796185534116326643e+00
-2.206228116822027907e+00,1.351784588965800893e+01,1.795782054621980039e+00
-8.273355438082609370e-02,1.475976812687040507e+01,1.795111843787326800e+00
2.040761008060377524e+00,1.600169036408280121e+01,1.794178271116866563e+00
4.164255570501580905e+00,1.724361260129519735e+01,1.792986025605658451e+00
6.287750132942783843e+00,1.848553483850759349e+01,1.791541087319188374e+00
8.411244695383986780e+00,1.972745707571998963e+01,1.789850691129847515e+00
1.053473925782519061e+01,2.096937931293238577e+01,1.787923282844146255e+00
1.265823382026639088e+01,2.221130155014478547e+01,1.785768468003968712e+00
-6.467006167434571573e+00,1.349396276971161512e+01,1.794978238729506792e+00
-4.343511604993368636e+00,1.473588500692401304e+01,1.794711134513485185e+00
-2.220017042552167030e+00,1.597780724413640741e+01,1.794178275072082940e+00
-9.652248011096375979e-02,1.721972948134880355e+01,1.793382354559887482e+00
2.026972082330239733e+00,1.846165171856119969e+01,1.792327394326828749e+00
4.150466644771443114e+00,1.970357395577359938e+01,1.791018718531552700e+00
6.273961207212646052e+00,2.094549619298599552e+01,1.789462921818388619e+00
8.397455769653850766e+00,2.218741843019839166e+01,1.787667829266600394e+00
1.052095033209504926e+01,2.342934066741078425e+01,1.785642448870604859e+00
1.264444489453625309e+01,2.467126290462318750e+01,1.783396916858117187e+00
1.476793945697745514e+01,2.591318514183558008e+01,1.780942436199446144e+00
-6.480795093164709364e+00,1.595392412419001715e+01,1.793382558758884526e+00
-4.357300530723508203e+00,1.719584636140240974e+01,1.792986035320866200e+00
-2.233805968282304821e+00,1.843776859861480943e+01,1.792327402514342083e+00
-1.103114058411014536e-01,1.967969083582720558e+01,1.791410010034158118e+00
2.013183156600101942e+00,2.092161307303960172e+01,1.790238519585131582e+00
4.136677719041305323e+00,2.216353531025200141e+01,1.788818876550051673e+00
6.260172281482508261e+00,2.340545754746439400e+01,1.787158273825104171e+00
8.383666843923709422e+00,2.464737978467679369e+01,1.785265108056342642e+00
1.050716140636491147e+01,2.588930202188918628e+01,1.783148928560003066e+00
1.263065596880611530e+01,2.713122425910158597e+01,1.780820379256761177e+00
1.475415053124731735e+01,2.837314649631398211e+01,1.778291133995182793e+00
1.687764509368852117e+01,2.961506873352637825e+01,1.775573825682280615e+00
-8.618078581336051869e+00,1.717196324145601949e+01,1.791802952909304469e+00
-6.494584018894848931e+00,1.841388547866841563e+01,1.791541103086985220e+00
-4.371089456453645994e+00,1.965580771588081177e+01,1.791018738498158402e+00
-2.247594894012442612e+00,2.089772995309321146e+01,1.790238534991971164e+00
-1.241003315712391336e-01,2.213965219030560760e+01,1.789204487085561679e+00
1.999394230869964373e+00,2.338157442751800374e+01,1.787921883665786638e+00
4.122888793311167532e+00,2.462349666473040344e+01,1.786397275767256598e+00
6.246383355752366917e+00,2.586541890194279603e+01,1.784638436634864656e+00
8.369877918193571631e+00,2.710734113915519572e+01,1.782654314328963485e+00
1.049337248063477368e+01,2.834926337636758831e+01,1.780454977179627196e+00
1.261686704307597751e+01,2.959118561357998800e+01,1.778051552442685868e+00
1.474036160551717956e+01,3.083310785079238414e+01,1.775456158554173491e+00
1.686385616795838160e+01,3.207503008800478028e+01,1.772681831421161647e+00
1.898735073039958721e+01,3.331695232521717287e+01,1.769742445225406469e+00
-8.631867507066191436e+00,1.963192459593442152e+01,1.789850710450192173e+00
-6.508372944624986722e+00,2.087384683314681766e+01,1.789462955152481660e+00
-4.384878382183783785e+00,2.211576907035921380e+01,1.788818913740189531e+00
-2.261383819742580403e+00,2.335769130757161349e+01,1.787921910609749476e+00
-1.378892573013768275e-01,2.459961354478400963e+01,1.786776572710920608e+00
1.985605305139826582e+00,2.584153578199640222e+01,1.785388801316115437e+00
4.109099867581026189e+00,2.708345801920880547e+01,1.783765735971207356e+00
6.232594430022229126e+00,2.832538025642119806e+01,1.781915710860916713e+00
8.356088992463433840e+00,2.956730249363359420e+01,1.779848203871022161e+00
1.047958355490463589e+01,3.080922473084599034e+01,1.777573778676954319e+00
1.260307811734583971e+01,3.205114696805839003e+01,1.775104020233461588e+00
1.472657267978703821e+01,3.329306920527078262e+01,1.772451464082713590e+00
1.685006724222824559e+01,3.453499144248317521e+01,1.769629519938136664e+00
1.897356180466944764e+01,3.577691367969557490e+01,1.766652390038199849e+00
2.109705636711065324e+01,3.701883591690797459e+01,1.763534982798043993e+00
-1.076915099523753128e+01,2.084996371320042741e+01,1.787923298915984560e+00
-8.645656432796327451e+00,2.209188595041282355e+01,1.787667873915695704e+00
-6.522161870355124513e+00,2.333380818762521614e+01,1.787158336605045861e+00
-4.398667307913921576e+00,2.457573042483761583e+01,1.786397340107758414e+00
-2.275172745472717750e+00,2.581765266205001197e+01,1.785388845775160549e+00
-1.516781830315144797e-01,2.705957489926240811e+01,1.784138098987674947e+00
1.971816379409685460e+00,2.830149713647480425e+01,1.782651597048483527e+00
4.095310941850888398e+00,2.954341937368720394e+01,1.780937049377009362e+00
6.218805504292092223e+00,3.078534161089960008e+01,1.779003330259822047e+00
8.342300066733296049e+00,3.202726384811199267e+01,1.776860424464830279e+00
1.046579462917449810e+01,3.326918608532439237e+01,1.774519366070888227e+00
1.258928919161569837e+01,3.451110832253678495e+01,1.771992170908873732e+00
1.471278375405690397e+01,3.575303055974918465e+01,1.769291763051630495e+00
1.683627831649810602e+01,3.699495279696157723e+01,1.766431895828628029e+00
1.895977287893931162e+01,3.823687503417397693e+01,1.763427067876520482e+00
2.108326744138051012e+01,3.947879727138636952e+01,1.760292434768755410e+00
2.320676200382171928e+01,4.072071950859876921e+01,1.757043716795779087e+00
-1.078293992096766551e+01,2.330992506767882588e+01,1.785642497244617655e+00
-8.659445358526461689e+00,2.455184730489122558e+01,1.785265195627817825e+00
-6.535950796085258752e+00,2.579376954210361816e+01,1.784638545606507254e+00
-4.412456233644055814e+00,2.703569177931601786e+01,1.783765841031304644e+00
-2.288961671202851988e+00,2.827761401652841400e+01,1.782651667017210562e+00
-1.654671087616521874e-01,2.951953625374081014e+01,1.781301871826998617e+00
1.958027453679551222e+00,3.076145849095320628e+01,1.779723530953155608e+00
4.081522016120755048e+00,3.200338072816560242e+01,1.777924903630905717e+00
6.205016578561957985e+00,3.324530296537799501e+01,1.775915382063993686e+00
8.328511141003161811e+00,3.448722520259039470e+01,1.773705433692196021e+00
1.045200570344436031e+01,3.572914743980279439e+01,1.771306536874653670e+00
1.257550026588556769e+01,3.697106967701518698e+01,1.768731110405791895e+00
1.469899482832676618e+01,3.821299191422758668e+01,1.765992437320514474e+00
1.682248939076797356e+01,3.945491415143997926e+01,1.763104583482289156e+00
1.894598395320917561e+01,4.069683638865237185e+01,1.760082311481414585e+00
2.106947851565038121e+01,4.193875862586477155e+01,1.756940990400968960e+00
2.319297307809157971e+01,4.318068086307717124e+01,1.753696502034489679e+00
2.531646764053278176e+01,4.442260310028957093e+01,1.750365144162131736e+00
-1.292022340913900535e+01,2.452796418494483177e+01,1.783396953692480080e+00
-1.079672884669780331e+01,2.576988642215722791e+01,1.783149033197494626e+00
-8.673234284256599480e+00,2.701180865936962761e+01,1.782654469477022108e+00
-6.549739721815396543e+00,2.825373089658202019e+01,1.781915888709826312e+00
-4.426245159374193605e+00,2.949565313379441633e+01,1.780937213106692507e+00
-2.302750596932993332e+00,3.073757537100681603e+01,1.779723636822684085e+00
-1.792560344917898674e-01,3.197949760821921217e+01,1.778281593980314046e+00
1.944238527949413653e+00,3.322141984543160476e+01,1.776618719010720993e+00
4.067733090390617257e+00,3.446334208264399734e+01,1.774743799569867386e+00
6.191227652831820194e+00,3.570526431985639704e+01,1.772666722335031197e+00
8.314722215273020467e+00,3.694718655706879673e+01,1.770398412033100444e+00
1.043821677771422607e+01,3.818910879428119642e+01,1.767950764096111849e+00
1.256171134015542634e+01,3.943103103149358901e+01,1.765336571380798469e+00
1.468520590259663194e+01,4.067295326870598871e+01,1.762569445427368819e+00
1.680870046503783399e+01,4.191487550591838129e+01,1.759663732768069533e+00
1.893219502747903960e+01,4.315679774313077388e+01,1.756634426828049156e+00
2.105568958992024164e+01,4.439871998034317357e+01,1.753497075989450149e+00
2.317918415236144014e+01,4.564064221755557327e+01,1.750267688414295586e+00
2.530267871480264574e+01,4.688256445476797296e+01,1.746962634242477774e+00
2.742617327724384424e+01,4.812448669198036555e+01,1.743598545797819810e+00
-1.293401233486914315e+01,2.698792553942323025e+01,1.780820483720442216e+00
-1.081051777242794110e+01,2.822984777663562994e+01,1.780455171575104689e+00
-8.687023209986737271e+00,2.947177001384802608e+01,1.779848459795489335e+00
-6.563528647545533445e+00,3.071369225106042222e+01,1.779003606755276135e+00
-4.440034085104334061e+00,3.195561448827281481e+01,1.777925149142279837e+00
-2.316539522663131123e+00,3.319753672548521450e+01,1.776618873968004886e+00
-1.930449602219275196e-01,3.443945896269760709e+01,1.775091782795543027e+00
1.930449602219275862e+00,3.568138119991000679e+01,1.773352048417759841e+00
4.053944164660479466e+00,3.692330343712239937e+01,1.771408964266840469e+00
6.177438727101678850e+00,3.816522567433479196e+01,1.769272886883540785e+00
8.300933289542886229e+00,3.940714791154719876e+01,1.766955171819602377e+00
1.042442785198408473e+01,4.064907014875959845e+01,1.764468103389448483e+00
1.254792241442529210e+01,4.189099238597199104e+01,1.761824818727201647e+00
1.467141697686649238e+01,4.313291462318438363e+01,1.759039226641974540e+00
